,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
109,Animo Jefferson Charter Middle,Los Angeles Unified,NC,NC,98.39%,96.77%,4.92%,5.00%,0.00,0,98.36%,1.64%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.44%,NC,NC,NC,NC,NC,NC,NC,NC
110,Animo Leadership High,Southwest Serv Area,NC,NC,100.00%,100.00%,NC,NC,0.00,0,78.95%,5.26%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
111,Animo Mae Jemison Charter Middle,Los Angeles Unified,NC,NC,98.31%,98.31%,3.45%,3.45%,0.00,0,98.21%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
112,Animo Pat Brown,Los Angeles Unified,NC,30.00%,100.00%,95.00%,20.00%,5.26%,0.00,0,98.55%,1.45%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
113,Animo Phillis Wheatley Charter Middle,Los Angeles Unified,NC,NC,95.65%,95.65%,4.55%,4.55%,NC,0,42.22%,38.89%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
114,Animo Ralph Bunche Charter High,Los Angeles Unified,85.00%,22.73%,100.00%,100.00%,NC,NC,0.00,0,98.77%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
115,Animo South Los Angeles Charter,Los Angeles Unified,NC,35.48%,100.00%,94.44%,NC,NC,0.00,0,74.49%,2.04%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
116,Animo Venice Charter High,Los Angeles Unified,92.00%,23.08%,94.74%,89.47%,NC,NC,0.00,0,95.18%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
117,Animo Watts College Preparatory Academy,Los Angeles Unified,90.91%,36.00%,88.89%,88.89%,NC,NC,0.00,0,76.32%,3.95%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.39%,NC,NC,NC,NC,100.00%,NC,NC,NC
118,Animo Western Charter Middle,Los Angeles Unified,NC,NC,92.31%,89.42%,5.21%,3.23%,0.00,0,37.37%,42.42%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
119,Animo Westside Charter Middle,Los Angeles Unified,NC,NC,95.83%,97.92%,10.87%,4.26%,0.00,0,97.83%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
120,Antelope Elementary,Tehama County,NC,NC,93.94%,93.94%,6.45%,1.61%,0.00,0,52.63%,29.47%,2.11%,NC,NC,NC,NC,NC,NC,NC,NC,99.22%,0,0,NC,NC,NC,NC,NC,NC
121,Antelope Valley Learning Academy,El Dorado County Charter,48.94%,30.47%,89.12%,89.12%,6.87%,1.53%,0.71,0,91.28%,7.38%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
122,Antelope Valley Union High,Antelope Valley,65.10%,3.29%,94.64%,94.49%,7.12%,2.27%,2.83,1,27.01%,33.76%,2.67%,NC,NC,NC,NC,NC,NC,NC,NC,99.16%,0,0,100.00%,NC,100.00%,71.04%,71.04%,95.63%
123,Antioch Charter Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
124,Antioch Charter Academy II,El Dorado County Charter,NC,NC,95.24%,95.24%,5.00%,5.00%,0.00,0,85.00%,5.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
125,Antioch Unified,Contra Costa,65.83%,8.63%,90.46%,90.39%,7.17%,3.87%,0.51,0,41.62%,28.83%,7.19%,43.07%,35.64%,84.38%,78.33%,85.29%,81.67%,84.85%,79.66%,98.57%,0,1,100.00%,90.48%,98.39%,NC,NC,NC
126,Apple Valley Unified,Desert Mountain,81.56%,1.67%,95.63%,94.48%,10.83%,6.82%,0.92,0,36.24%,37.56%,6.50%,56.63%,34.94%,NC,NC,NC,NC,NC,NC,99.90%,0,0,99.36%,NC,100.00%,96.67%,96.67%,100.00%
127,Aptitud Community Academy at Goss,Southeast Consortium,NC,NC,100.00%,100.00%,7.50%,2.50%,0.00,0,82.61%,13.04%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
128,Ararat Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
129,Arcadia Unified,West San Gabriel Valley,92.42%,0.00%,95.91%,95.66%,21.02%,20.11%,0.00,0,49.35%,16.99%,2.91%,84.09%,10.23%,NC,NC,NC,NC,NC,NC,99.75%,0,3,100.00%,100.00%,100.00%,75.76%,96.97%,100.00%
130,Arcata Elementary,Humboldt-Del Norte,NC,NC,94.59%,90.54%,27.14%,31.34%,0.00,0,80.47%,7.03%,2.34%,26.09%,43.48%,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
131,"Architecture, Construction & Engineering Charter High",Ventura County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,97.78%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
132,Arcohe Union Elementary,Sacramento County,NC,NC,100.00%,100.00%,6.52%,10.87%,NC,0,13.46%,13.46%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
133,Arena Union Elementary,Mendocino County,NC,NC,100.00%,100.00%,20.83%,25.00%,0.00,0,71.88%,12.50%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
134,Arete Charter Academy,Nevada County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
135,Armona Union Elementary,Kings County,NC,NC,100.00%,100.00%,12.79%,6.98%,1.31,0,47.41%,40.52%,0.86%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
136,Aromas - San Juan Unified,San Benito County,NC,NC,96.00%,94.67%,9.72%,8.45%,0.00,0,75.63%,14.29%,0.84%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
137,Arroyo Vista Charter,South County,NC,NC,94.64%,94.64%,47.17%,30.19%,0.00,0,95.65%,1.45%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
138,Arts In Action Community Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
139,Arts in Action Community Middle,Los Angeles Unified,NC,NC,100.00%,100.00%,9.09%,4.55%,0.00,0,95.24%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
140,Arundel Elementary,San Mateo County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,72.73%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
141,Arvin Union,Kern County Consortium,NC,NC,99.46%,99.46%,7.65%,5.46%,0.60,0,50.38%,22.69%,1.15%,18.37%,71.43%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
142,Aspen Meadow Public,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
143,Aspen Valley Prep Academy,El Dorado County Charter,NC,NC,94.12%,94.12%,3.13%,3.13%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
144,Aspire APEX Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
145,Aspire Alexander Twilight College Preparatory Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,20.00%,16.00%,4.08,0,96.67%,3.33%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
146,Aspire Alexander Twilight Secondary Academy,El Dorado County Charter,NC,NC,87.50%,87.50%,11.90%,4.76%,3.08,0,89.86%,4.35%,1.45%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
147,Aspire Antonio Maria Lugo Academy,El Dorado County Charter,NC,NC,96.88%,96.88%,12.90%,19.35%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
148,Aspire Benjamin Holt College Preparatory Academy,El Dorado County Charter,NC,NC,80.00%,80.00%,NC,NC,0.00,0,90.91%,4.55%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,95.45%,0,0,NC,NC,NC,NC,NC,NC
149,Aspire Benjamin Holt Middle,El Dorado County Charter,NC,NC,93.18%,93.18%,9.76%,9.76%,0.00,0,94.59%,2.70%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
150,Aspire Berkley Maynard Academy,El Dorado County Charter,NC,NC,97.83%,97.83%,20.00%,24.44%,NC,0,94.23%,3.85%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
151,Aspire Capitol Heights Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
152,Aspire Centennial College Preparatory Academy,Los Angeles Unified,NC,NC,95.77%,97.18%,11.76%,8.70%,0.00,0,97.14%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
153,Aspire College Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,0.00%,13.04%,0.00,0,86.21%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
154,Aspire ERES Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,3.70%,3.70%,0.00,0,90.91%,6.06%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
155,Aspire East Palo Alto Charter,El Dorado County Charter,NC,NC,98.48%,95.45%,15.38%,9.52%,5.56,1,96.47%,1.18%,1.18%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
156,Aspire Firestone Academy Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,14.29%,14.29%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
157,Aspire Gateway Academy Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,23.81%,28.57%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
158,Aspire Golden State College Preparatory Academy,El Dorado County Charter,NC,NC,95.24%,95.24%,10.00%,5.00%,NC,0,93.55%,1.61%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
159,Aspire Inskeep Academy Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,20.59%,8.82%,0.00,0,96.77%,3.23%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
160,Aspire Juanita Tate Academy Charter,Los Angeles Unified,NC,NC,96.77%,96.77%,3.33%,16.67%,0.00,0,93.75%,3.13%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
161,Aspire Junior Collegiate Academy,Los Angeles Unified,NC,NC,94.12%,94.12%,NC,NC,0.00,0,96.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
162,Aspire Langston Hughes Academy,El Dorado County Charter,NC,NC,96.08%,98.04%,10.20%,4.00%,0.00,0,83.54%,5.06%,2.53%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
163,Aspire Lionel Wilson College Preparatory Academy,El Dorado County Charter,NC,NC,89.74%,92.31%,5.71%,5.56%,0.00,0,88.89%,8.33%,2.78%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
164,Aspire Monarch Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,23.81%,9.52%,0.00,0,94.12%,5.88%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
165,Aspire Ollin University Preparatory Academy,El Dorado County Charter,NC,NC,100.00%,96.77%,22.58%,20.00%,0.00,0,94.03%,4.48%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
166,Aspire Pacific Academy,Los Angeles Unified,NC,NC,100.00%,100.00%,16.67%,16.67%,0.00,0,96.39%,2.41%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
167,Aspire Port City Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,7.41%,3.70%,0.00,0,83.78%,5.41%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
168,Aspire Richmond Ca. College Preparatory Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,12.90%,6.45%,0.00,0,85.96%,1.75%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
169,Aspire Richmond Technology Academy,El Dorado County Charter,NC,NC,80.65%,80.65%,36.00%,20.00%,0.00,0,85.71%,5.71%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
170,Aspire River Oaks Charter,El Dorado County Charter,NC,NC,92.31%,92.31%,NC,NC,0.00,0,91.67%,8.33%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
171,Aspire Rosa Parks Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
172,Aspire Slauson Academy Charter,Los Angeles Unified,NC,NC,95.00%,95.00%,31.58%,26.32%,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
173,Aspire Summit Charter Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,11.54%,15.38%,0.00,0,97.14%,0.00%,2.86%,NC,NC,NC,NC,NC,NC,NC,NC,98.00%,0,0,NC,NC,NC,NC,NC,NC
174,Aspire Titan Academy,Los Angeles Unified,NC,NC,100.00%,100.00%,20.00%,20.00%,0.00,0,85.71%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
175,Aspire Triumph Technology Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,7.69%,3.85%,0.00,0,85.71%,8.57%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
176,Aspire University Charter,El Dorado County Charter,NC,NC,73.33%,80.00%,NC,NC,NC,NC,88.89%,3.70%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
177,Aspire Vanguard College Preparatory Academy,El Dorado County Charter,NC,NC,87.10%,93.55%,0.00%,0.00%,NC,0,86.27%,5.88%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
178,Aspire Vincent Shalvey Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,86.96%,8.70%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.06%,0,0,NC,NC,NC,NC,NC,NC
179,Assurance Learning Academy,El Dorado County Charter,80.36%,32.48%,87.95%,88.55%,4.79%,0.68%,0.24,0,99.68%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.71%,0,0,NC,NC,100.00%,NC,NC,NC
180,Atascadero Unified,San Luis Obispo County,80.43%,0.00%,91.98%,90.74%,11.74%,5.44%,0.81,0,66.79%,15.70%,2.35%,90.24%,9.76%,NC,93.10%,NC,93.10%,NC,93.10%,99.37%,0,0,100.00%,100.00%,98.44%,53.57%,71.43%,78.57%
181,Atkinson Academy Charter,San Juan Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
182,Atwater Elementary,Merced County,NC,NC,99.58%,99.58%,18.07%,13.84%,0.23,0,58.13%,19.88%,1.36%,48.96%,9.38%,NC,NC,NC,NC,NC,NC,99.89%,0,0,100.00%,NC,NC,NC,NC,NC
183,Auburn Union Elementary,Placer County,NC,NC,95.72%,95.72%,9.50%,10.06%,NC,0,55.14%,13.58%,3.70%,45.65%,26.09%,NC,NC,NC,NC,NC,NC,98.68%,0,1,100.00%,NC,NC,NC,NC,NC
184,Audeo Charter,El Dorado County Charter,73.33%,0.00%,89.19%,89.19%,24.24%,3.03%,0.00,0,97.94%,1.03%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.32%,0,0,NC,NC,100.00%,NC,NC,NC
185,Audeo Charter II,El Dorado County Charter,57.14%,0.00%,100.00%,100.00%,NC,NC,0.00,0,94.44%,1.85%,1.85%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
186,Audeo Charter School III,El Dorado County Charter,NC,NC,83.33%,91.67%,NC,NC,NC,NC,93.55%,6.45%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
187,Aurum Preparatory Academy,El Dorado County Charter,NC,NC,75.00%,75.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
188,Aveson Global Leadership Academy,Desert/Mountain Charter,NC,0.00%,87.76%,85.71%,13.95%,2.38%,0.00,0,88.00%,1.33%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
189,Aveson School of Leaders,Desert/Mountain Charter,NC,NC,73.91%,73.91%,29.41%,17.65%,0.00,0,94.29%,0.00%,2.86%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
190,Azusa Unified,East San Gabriel Valley,77.94%,4.20%,97.63%,97.48%,6.22%,4.10%,0.19,0,50.48%,24.89%,2.69%,63.06%,23.57%,84.62%,64.58%,70.83%,56.52%,80.95%,64.44%,99.80%,0,2,100.00%,86.36%,99.66%,55.17%,77.59%,91.38%
191,B. Roberto Cruz Leadership Academy,Sonoma County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,96.97%,3.03%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
192,BRIDGES Charter,Ventura County,NC,NC,96.00%,96.00%,41.67%,41.67%,0.00,0,86.49%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
193,Baker Valley Unified,Desert Mountain,NC,NC,88.89%,88.89%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
194,Bakersfield City,Bakersfield City,NC,NC,97.29%,96.51%,8.14%,4.97%,0.30,0,46.26%,33.31%,0.16%,19.33%,27.84%,65.52%,49.40%,55.93%,45.12%,46.67%,48.78%,100.00%,0,1,100.00%,95.83%,NC,NC,NC,NC
195,Baldwin Park Unified,East San Gabriel Valley,82.03%,0.00%,97.68%,97.42%,11.67%,8.50%,0.16,0,54.74%,24.20%,1.31%,65.90%,26.56%,82.35%,80.52%,86.21%,81.33%,78.57%,74.24%,99.76%,0,0,100.00%,94.12%,100.00%,52.56%,67.95%,76.92%
196,Ballard Elementary,Santa Barbara County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
197,Ballico-Cressey Community Charter,Merced County,NC,NC,100.00%,100.00%,34.29%,28.57%,0.00,0,63.64%,3.03%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
198,Ballico-Cressey Elementary,Merced County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
199,Ballington Academy for the Arts and Sciences,Desert/Mountain Charter,NC,NC,100.00%,100.00%,13.64%,4.55%,0.00,0,96.77%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.56%,0,0,NC,NC,NC,NC,NC,NC
200,Ballington Academy for the Arts and Sciences - San Bernardino,San Bernardino City Unified,NC,NC,87.50%,75.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
201,Bangor Union Elementary,Butte County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
202,Banning Unified,Riverside County,60.00%,3.85%,96.99%,81.20%,7.75%,5.86%,1.00,1,48.59%,38.47%,1.82%,69.23%,26.92%,NC,NC,NC,NC,NC,NC,99.26%,0,1,100.00%,NC,100.00%,46.15%,69.23%,80.77%
203,Banta Elementary,San Joaquin County,NC,NC,100.00%,100.00%,9.68%,12.90%,0.00,0,36.96%,13.04%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
204,Barack Obama Charter,El Dorado County Charter,NC,NC,100.00%,100.00%,0.00%,2.08%,0.00,0,98.25%,1.75%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
205,Barona Indian Charter,East County,NC,NC,90.91%,90.91%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
206,Barstow Unified,Desert Mountain,64.58%,5.26%,94.56%,94.04%,5.57%,3.17%,1.69,1,47.90%,25.33%,1.33%,45.16%,41.94%,NC,NC,NC,NC,NC,NC,99.62%,0,1,100.00%,NC,100.00%,NC,NC,NC
207,Bass Lake Joint Union Elementary,Madera-Mariposa County,NC,NC,96.77%,95.70%,11.11%,8.99%,0.00,0,68.42%,5.26%,0.00%,54.55%,22.73%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
208,Bassett Unified,East San Gabriel Valley,88.89%,0.00%,99.22%,98.82%,10.28%,8.33%,0.00,0,56.58%,21.29%,2.30%,89.83%,6.78%,NC,NC,NC,NC,NC,NC,99.83%,0,0,100.00%,100.00%,100.00%,45.24%,71.43%,76.19%
209,Bay Area Technology,El Dorado County Charter,NC,NC,36.36%,27.27%,NC,NC,0.00,0,86.67%,3.33%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
210,Bay View Academy,Sonoma County Charter,NC,NC,97.62%,97.62%,17.07%,14.63%,0.00,0,92.45%,1.89%,1.89%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
211,Baypoint Preparatory Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,13.64%,13.64%,0.00,0,96.97%,3.03%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.83%,0,0,NC,NC,NC,NC,NC,NC
212,Baypoint Preparatory Academy - San Diego,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
213,Bayshore Elementary,San Mateo County,NC,NC,97.96%,100.00%,6.25%,10.20%,0.00,0,81.48%,7.41%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
214,Bear Valley Unified,Desert Mountain,80.00%,3.03%,95.29%,95.81%,12.64%,6.56%,0.00,0,36.83%,24.76%,0.95%,40.00%,5.00%,NC,NC,NC,NC,NC,NC,99.73%,0,0,100.00%,NC,100.00%,NC,NC,NC
215,Beardsley Elementary,Kern County Consortium,NC,NC,98.84%,98.84%,7.65%,2.35%,0.81,0,52.74%,22.36%,1.69%,25.00%,53.57%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
216,Beaumont Unified,Riverside County,66.67%,4.39%,98.02%,97.75%,14.29%,9.46%,0.57,0,48.11%,40.57%,4.00%,33.94%,53.94%,NC,86.67%,NC,90.00%,NC,76.67%,100.00%,0,0,99.52%,100.00%,100.00%,61.36%,75.00%,88.64%
217,Beckford Charter for Enriched Studies,Los Angeles Unified,NC,NC,100.00%,100.00%,43.14%,41.18%,0.00,0,82.14%,3.57%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,91.80%,NC,NC,NC,NC,NC,NC,NC,NC
