,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
744,Galt Joint Union Elementary,Sacramento County,NC,NC,92.57%,93.19%,20.74%,16.94%,NC,0,53.20%,27.15%,0.88%,65.81%,5.13%,NC,NC,NC,NC,NC,NC,99.86%,0,0,100.00%,NC,NC,NC,NC,NC
745,Galt Joint Union High,Sacramento County,77.94%,3.26%,98.36%,98.36%,16.67%,3.33%,1.50,0,65.11%,14.95%,0.93%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
746,Garden Grove Unified,Garden Grove Unified,80.80%,3.36%,97.77%,97.67%,17.72%,14.04%,0.33,0,44.10%,28.01%,2.00%,26.76%,55.96%,73.63%,64.79%,71.74%,58.09%,62.79%,59.29%,99.83%,1,3,100.00%,97.94%,99.74%,73.33%,80.00%,90.00%
747,Garfield Elementary,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
748,Garvey Elementary,West San Gabriel Valley,NC,NC,97.00%,97.01%,13.75%,9.25%,0.00,0,59.32%,24.94%,1.45%,57.61%,18.48%,NC,57.14%,NC,NC,NC,NC,99.19%,0,1,100.00%,NC,NC,NC,NC,NC
749,Gateway College and Career Academy,El Dorado County Charter,NC,NC,50.00%,50.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
750,Gateway High,San Francisco Unified,96.55%,0.00%,100.00%,100.00%,NC,NC,0.00,0,96.20%,2.53%,1.27%,NC,NC,NC,NC,NC,NC,NC,NC,98.51%,NC,NC,NC,NC,98.36%,NC,NC,NC
751,Gateway International,El Dorado County Charter,NC,NC,100.00%,100.00%,28.57%,28.57%,0.00,0,89.66%,3.45%,3.45%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
752,Gateway Middle,San Francisco Unified,NC,NC,96.97%,95.45%,23.44%,4.76%,NC,NC,87.10%,8.06%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.48%,NC,NC,NC,NC,NC,NC,NC,NC
753,Gateway Unified,Shasta County,77.78%,9.76%,93.13%,90.56%,8.76%,8.53%,0.60,0,58.06%,13.49%,6.74%,82.61%,10.14%,NC,82.61%,NC,77.78%,NC,87.18%,99.19%,0,0,100.00%,NC,100.00%,NC,NC,NC
754,Gateway to College Academy,Sonoma County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
755,Gazelle Union Elementary,Siskiyou County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
756,General Shafter Elementary,Kern County Consortium,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
757,George Ellery Hale Charter Academy,Los Angeles Unified,NC,NC,98.53%,98.90%,24.63%,15.24%,0.00,0,65.67%,2.24%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.15%,NC,NC,NC,NC,NC,NC,NC,NC
758,George Washington Carver School of Arts and Science,Sacramento City Unified,NC,0.00%,66.67%,66.67%,NC,NC,0.00,0,57.81%,28.13%,1.56%,NC,NC,NC,NC,NC,NC,NC,NC,98.63%,NC,NC,NC,NC,100.00%,NC,NC,NC
759,George Washington Charter,Riverside County,NC,NC,97.06%,97.06%,42.42%,30.30%,0.00,0,64.71%,13.73%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.48%,NC,NC,NC,NC,NC,NC,NC,NC
760,Gerber Union Elementary,Tehama County,NC,NC,100.00%,100.00%,17.86%,10.71%,0.00,0,67.44%,27.91%,2.33%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
761,Geyserville Unified,Sonoma County,NC,NC,95.45%,100.00%,14.29%,27.27%,0.00,0,84.85%,12.12%,3.03%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
