,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,LEA-old,LEA,_merge
169,South Umpqua SD 19,257.0,61.48,73.0,11.67,10.6,No ,No ,No ,No ,72.73,8.0,11610,011610,both
170,South Wasco County SD 1,34.0,82.35,73.0,2.94,10.6,No ,No ,No ,No ,,0.0,21,000021,both
171,Spray SD 1,,,73.0,,10.6,No ,No ,No ,No ,,,11640,011640,both
172,Springfield SD 19,1570.0,67.01,73.0,11.59,10.6,No ,No ,No ,No ,55.2,5.53,11670,011670,both
173,St Helens SD 502,438.0,74.66,73.0,12.56,10.6,Yes,No ,No ,No ,66.67,5.68,11720,011720,both
174,St Paul SD 45,26.0,73.08,73.0,7.69,10.6,No ,No ,No ,No ,,0.0,11760,011760,both
175,Stanfield SD 61,58.0,72.41,73.0,1.72,10.6,No ,No ,No ,No ,,0.0,11790,011790,both
176,Suntex SD 10,,,73.0,,10.6,No ,No ,No ,No ,,,11910,011910,left_only
177,Sutherlin SD 130,166.0,74.1,73.0,2.41,10.6,No ,No ,No ,No ,68.75,1.79,11940,011940,both
178,Sweet Home SD 55,449.0,77.51,73.0,10.47,10.6,No ,No ,No ,No ,53.57,6.57,11970,011970,both
179,Three Rivers/Josephine County SD,536.0,77.05,73.0,10.63,10.6,No ,No ,No ,No ,59.26,3.92,6900,006900,both
180,Tigard-Tualatin SD 23J,1278.0,70.34,73.0,6.34,10.6,No ,No ,No ,No ,73.55,3.34,12240,012240,both
181,Tillamook SD 9,278.0,73.02,73.0,10.43,10.6,No ,No ,No ,No ,70.97,4.21,12320,012320,both
182,Troy SD 54,,,73.0,,10.6,No ,No ,No ,No ,,,12360,012360,both
183,Ukiah SD 80R,,,73.0,,10.6,No ,No ,No ,No ,,,12540,012540,both
184,Umatilla SD 6R,127.0,80.31,73.0,13.39,10.6,No ,No ,No ,No ,71.43,2.08,12600,012600,both
185,Union SD 5,36.0,80.56,73.0,8.33,10.6,No ,No ,No ,No ,,0.0,12690,012690,both
186,Vale SD 84,102.0,85.29,73.0,1.96,10.6,No ,No ,No ,No ,90.0,0.0,14,000014,both
187,Vernonia SD 47J,98.0,77.55,73.0,10.2,10.6,No ,No ,No ,No ,60.0,5.56,12930,012930,both
188,Wallowa SD 12,26.0,96.15,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,12990,012990,both
189,Warrenton-Hammond SD 30,129.0,78.29,73.0,16.28,10.6,No ,No ,No ,No ,87.5,4.26,13080,013080,both
